ParcelNumber,FullAddress,CurrentAssessedValue,OBJECTID
040180100,306 11TH ST NW ,102497,15148374
030114000,712 12TH ST NW ,138384,15148173
040009000,609 13TH ST NW ,139900,15148175
030103000,216 ROSSER AVE E ,50100,15148180
030102000,214 ROSSER AVE E ,134400,15148181
030100000,208 ROSSER AVE E ,85600,15148184
040196000,328 10 1/2 ST NW ,123300,15148812
070003140,2116 MORRIS RD ,646600,15148655
030052100,1004 RUGBY RD ,410240,15148072
050024100,1823 EDGEWOOD LN ,851868,15148487
060022000,810 FENDALL TER ,743700,15148406
060023000,811 FENDALL TER ,837100,15148402
030032000,1622 WESTWOOD RD ,386600,15148112
070003800,2105 MORRIS RD ,561300,15148587
020055100,904 COTTAGE LN ,538500,15148089
030093100,1100 PRESTON AVE A&B,258500,15148169
040134000,1201 GORDON AVE ,239900,15148282
040108000,1305 GORDON AVE ,304535,15148248
040131000,1305 JOHN ST ,408550,15148353
010047000,905 FENDALL TER ,600400,15147956
040198000,334 10 1/2 ST NW ,140997,15148807
040089000,504 12TH ST NW ,199900,15148268
070006000,2108 TWYMAN RD ,430300,15148673
130002000,305 KENT RD ,659760,15148913
030113000,708 12TH ST NW ,129200,15148174
040319000,223 10TH ST NW ,206600,15148906
030139100,0 CABELL AVE ,415400,15148132
010019000,1890 WESTVIEW RD ,596100,15147938
070009000,2115 MINOR RD ,686000,15148670
070001101,2132 IVY RD ,14911600,15148510
070007000,2112 TWYMAN RD ,647400,15148662
130001000,301 KENT RD ,664500,15148910
070030000,104 BOLLINGWOOD RD ,560250,15148679
010033000,1884 FIELD RD ,452500,15147946
020076000,905 RUGBY RD ,476200,15148114
030108000,1201 ROSSER AVE E ,123900,15148197
050007100,1809 RUGBY PL ,547100,15148476
050008000,1807 RUGBY PL ,618300,15148483
050072000,1535 GORDON AVE ,581500,15148761
050090000,1409 GRADY AVE ,882400,15148707
040288000,320 14TH ST NW ,464470,15148800
070003300,2115 MORRIS RD ,520000,15148619
060050000,1873 EDGEWOOD LN ,759400,15148479
020075000,915 RUGBY RD ,740800,15148110
060004000,813 FENDALL TER ,659800,15148400
060043000,1879 WAYSIDE PL ,779000,15148420
030053000,1224 PRESTON AVE A&B,138400,15148085
020013000,110 HOWARD DR ,325932,15147992
030025000,1619 WESTWOOD RD ,361900,15148094
0402771A0,1223 JOHN ST ,235600,15148794
040110000,523 13TH ST NW ,139500,15148216
060054000,1841 WAYSIDE PL ,794300,15148491
020068000,1007 RUGBY RD ,2077500,15148035
060009000,1856 WINSTON RD ,420284,15148411
030137000,932 HEMLOCK LN ,182300,15148135
030138000,930 HEMLOCK LN ,184900,15148137
060030000,1848 FENDALL AVE ,779600,15148431
060001900,2401 ARLINGTON BLVD ,7164800,15148386
050085000,510-512 15TH ST NW ,985000,15148762
050018000,1817 FENDALL AVE ,935300,15148465
050050000,1811 LAMBETH LN ,1199100,15148674
040214000,339 10TH ST NW ,212800,15148810
030060100,1609 CABELL AVE ,371200,15148134
060065000,1828 WAYSIDE PL ,883652,15148519
010041000,906 FENDALL TER ,1400084,15147974
020028000,1844 WESTVIEW RD ,727800,15147987
030082000,0 PRESTON AVE ,25200,15148161
030091000,1112 PRESTON AVE ,122800,15148160
030124000,1105 PRESTON AVE ,244300,15148164
040008000,603 13TH ST NW ,161700,15148183
040158000,334 11TH ST NW ,175800,15148359
070016000,212 ALDERMAN RD ,563500,15148753
050079000,507 15TH ST NW ,398840,15148772
050081000,1411 GORDON AVE ,305100,15148778
020055900,1824 WESTVIEW RD ,158900,15148054
020055800,1822 WESTVIEW RD ,868900,15148061
020055700,1820 WESTVIEW RD ,93600,15148070
040057000,406 10 1/2 ST NW ,139700,15148318
060001000,1900 ARLINGTON BLVD ,3782000,15148397
060005000,1872 WINSTON RD ,783600,15148403
020008000,1820 BARRACKS RD ,359300,15147969
050123000,630 PRESTON PL ,655200,15148616
020055300,901 ROSSER LN ,561100,15148103
040177000,325 10 1/2 ST NW ,145500,15148368
050038100,1817 UNIVERSITY CIR ,635600,15148563
060001300,1936 ARLINGTON BLVD ,2117400,15148392
060001200,1932 ARLINGTON BLVD ,2021600,15148393
060001100,1928 ARLINGTON BLVD ,1495900,15148395
010001600,600 MASSIE RD ,83026600,15147917
060001101,0 ARLINGTON BLVD ,7715500,15148385
060073000,83-136 UNIVERSITY GARDENS ,11327000,15148424
060072000,0 UNIVERSITY CIR ,76200,15148455
060071000,21 UNIVERSITY CIR ,819100,15148484
080027000,0 EMMET ST S ,9075700,15148752
080042000,210 SPRIGG LN ,551200,15148785
080001000,101 EMMET ST N ,55813000,15148398
060075000,380 EMMET ST N ,1000500,15148537
070002300,2015 IVY RD ,5008704,15148583
070002100,2025-29 IVY RD ,1355300,15148590
060087000,1885 UNIVERSITY CIR ,484500,15148648
080009000,119 EMMET ST N ,757338,15148692
080035000,101 CRESAP RD ,347900,15148719
080034000,103 CRESAP RD ,342000,15148736
080033000,105 CRESAP RD ,342000,15148744
080032000,107 CRESAP RD ,342000,15148755
070001900,0 IVY RD ,488900,15148473
050058000,1707 GRADY AVE ,1228600,15148667
040304301,1215 WERTLAND ST C-13,134200,15148867
050102000,1509 GRADY AVE ,1022400,15148678
050125000,1703 GRADY AVE ,1001900,15148646
050088000,519 14TH ST NW ,367621,15148760
050056000,506 RUGBY RD ,1212000,15148663
050068000,1601 GRADY AVE ,520500,15148710
050084000,511 14TH ST NW ,486300,15148776
040122000,362 14TH ST NW ,418235,15148321
040125000,358 14TH ST NW ,454000,15148338
060078000,27 UNIVERSITY CIR ,747500,15148545
050088100,1406 GRADY AVE ,348742,15148758
040116000,1307 GORDON AVE ,289870,15148245
040120000,409 13TH ST NW ,13789400,15148319
040205000,354 10 1/2 ST NW ,223900,15148789
030073000,1124 PRESTON AVE A&B,269800,15148152
050148800,100 STEWART CIR ,277000,15148538
090002000,1704 GORDON AVE ,2407700,15148916
040153000,0 11TH ST NW ,0,15148362
030006100,1705 RUGBY AVE ,718100,15148023
020009000,1812 BARRACKS RD ,378000,15147971
040138000,407 12TH ST NW ,274600,15148299
030033000,1629 HARDWOOD AVE ,366800,15148127
010040000,1864 FIELD RD ,556900,15147988
050132000,700 RUGBY RD ,898700,15148567
040304370,1215 WERTLAND ST C-32,140600,15148875
040304220,1215 WERTLAND ST B-32,140800,15148859
040304900,1215 WERTLAND ST A-33,143700,15148887
040244000,1120 PAGE ST ,166194,15148828
050039000,3 UNIVERSITY CIR ,450700,15148569
070014000,200 ALDERMAN RD ,471200,15148705
010011000,1855 WESTVIEW RD ,1084700,15147944
070045000,123 CAMERON LN ,586500,15148756
070003160,115 ALDERMAN RD ,487300,15148657
040245000,1114 JOHN ST ,4596500,15148367
040147000,363 11TH ST NW ,284900,15148309
030128000,832 CABELL AVE ,1349700,15148142
040314000,1021 WERTLAND ST ,5398900,15148381
050047100,0 RUGBY RD ,235000,15148666
050053000,513 RUGBY RD ,1530200,15148685
090003000,480 RUGBY RD ,565700,15148914
070010000,2111 MINOR RD ,609500,15148688
030047000,1702 RUGBY AVE ,474408,15148065
070013000,118 ALDERMAN RD ,500600,15148684
030037000,1624 HARDWOOD AVE ,317300,15148140
070021000,133 BOLLINGWOOD RD ,655060,15148697
050060000,511 17TH ST NW ,482640,15148695
040103000,506 13TH ST NW ,219500,15148252
040200000,340 10 1/2 ST NW ,172037,15148803
060007000,1864 WINSTON RD ,587500,15148405
040191000,312 10 1/2 ST NW ,99400,15148830
040037000,608 11TH ST NW ,175500,15148229
020037000,1860 FIELD RD ,745300,15148005
040053000,418 10TH ST NW ,118200,15148306
040059000,403 10TH ST NW ,152500,15148326
050075000,1508 GRADY AVE ,1060300,15148723
020063000,928 ROSSER LN ,847300,15148051
020054200,905 COTTAGE LN ,738300,15148076
060069000,1835 UNIVERSITY CIR ,1662000,15148512
050107000,612 PRESTON PL ,604996,15148623
030036000,1620 HARDWOOD AVE ,356540,15148141
040154000,308 11TH ST NW ,139097,15148369
050109000,600 PRESTON PL ,903600,15148669
040304240,1215 WERTLAND ST B-34,146600,15148861
040304401,1215 WERTLAND ST C-41,139300,15148878
040304160,1215 WERTLAND ST B-14,145700,15148852
040304190,1215 WERTLAND ST B-23,143300,15148855
040304420,1215 WERTLAND ST C-43,145500,15148881
040304600,1215 WERTLAND ST A-24,145500,15148884
050082000,1409 GORDON AVE ,311770,15148780
070003500,2111 MORRIS RD ,614500,15148596
040304110,1215 WERTLAND ST A-41,139300,15148847
050064000,510 17TH ST NW ,816200,15148720
050054000,502 RUGBY RD ,1274100,15148691
050022100,1830 FENDALL AVE ,736100,15148457
030118000,1015 PRESTON AVE ,3191073,15148172
030101000,212 ROSSER AVE E ,12400,15148182
030077000,102 BARBOUR DR ,236300,15148151
060085200,39 UNIVERSITY CIR 2,425036,15148611
070003150,117 ALDERMAN RD ,548560,15148665
020054600,915 COTTAGE LN ,697216,15148034
040199000,338 10 1/2 ST NW ,264100,15148805
020062000,924 ROSSER LN ,675700,15148064
030011000,1627 RUGBY AVE ,107052,15148039
010020000,1888 WESTVIEW RD ,1023300,15147939
050013000,807 RUGBY RD ,538000,15148509
020015000,1806 BARRACKS RD ,413056,15147985
040304400,1215 WERTLAND ST A-22,138800,15148879
050011000,809 RUGBY RD ,776628,15148481
040304350,1215 WERTLAND ST C-24,146900,15148873
030109000,703 12TH ST NW ,205900,15148187
010008000,0 BARRACKS RD ,258200,15147933
010009000,1920 BARRACKS RD ,920900,15147936
020001000,0 BARRACKS RD ,218500,15147940
020002000,0 BARRACKS RD ,119100,15147943
050112000,611 PRESTON PL ,474600,15148628
030002000,1102 RUGBY RD ,515600,15148026
030051000,1718 RUGBY AVE ,381300,15148058
020016200,1109 RUGBY RD ,436400,15147996
040235000,1010 PAGE ST ,113370,15148894
080020000,1926 IVY RD ,158800,15148911
040109000,511 13TH ST NW ,215610,15148223
040099100,0 GRADY AVE ,22400,15148235
040099000,513 12TH ST NW ,157870,15148243
020051000,912 OLD FARM RD ,556500,15148040
010012000,1857 WESTVIEW RD ,577900,15147941
040187000,301 10 1/2 ST NW ,239300,15148840
060017000,1845 FENDALL AVE ,769652,15148422
050006000,1816 WINSTON RD ,887200,15148460
010038000,1868 FIELD RD ,665300,15147973
020031000,1859 FIELD RD ,1201472,15147998
020029000,1834 WESTVIEW RD ,848576,15148001
020066000,942 ROSSER LN ,527300,15148021
010042000,1859 WINSTON RD ,604400,15148004
020006300,118 BUCKINGHAM RD ,500200,15147964
040114000,504 14TH ST NW ,402335,15148231
070023000,117 BOLLINGWOOD RD ,801900,15148658
040025000,607 11TH ST NW ,152600,15148225
040026000,0 11TH ST NW ,27800,15148232
030016000,1549 RUGBY AVE ,728256,15148050
030076000,104 BARBOUR DR ,236300,15148155
030079000,1614 CABELL AVE ,447400,15148147
040304430,1215 WERTLAND ST C-44,146900,15148882
050104000,619 CABELL AVE ,926600,15148654
020025000,1839 WESTVIEW RD ,1385400,15147970
040304230,1215 WERTLAND ST B-33,145100,15148860
040304310,1215 WERTLAND ST C-14,133500,15148869
040304380,1215 WERTLAND ST C-33,145500,15148876
040304410,1215 WERTLAND ST C-42,140600,15148880
040304360,1215 WERTLAND ST C-31,139300,15148874
050091000,1407 GRADY AVE ,912000,15148718
070040000,106 MINOR RD ,509000,15148775
040224000,1003 PAGE ST ,80500,15148895
060067000,17 UNIVERSITY CIR ,1539700,15148546
060053000,1829 WAYSIDE PL ,638824,15148507
060035000,1827 EDGEWOOD LN ,804700,15148472
060089000,1880 UNIVERSITY CIR ,521700,15148618
060020000,1863 FENDALL AVE ,575000,15148410
050118000,1702 BURNLEY AVE ,999400,15148573
060052000,1827 WAYSIDE PL ,658500,15148515
080017000,110 CAMERON LN ,731280,15148731
040151000,345 11TH ST NW ,109400,15148341
040086000,1104 GRADY AVE ,218700,15148255
030035000,1619 HARDWOOD AVE ,334188,15148130
030004000,1711 RUGBY AVE ,543600,15148032
050100200,602 CABELL AVE 2,199200,15148713
040141000,1 LATROBE CT ,114100,15148316
040141100,2 LATROBE CT ,114100,15148320
040141200,3 LATROBE CT ,114900,15148323
040141300,6 LATROBE CT ,114100,15148331
040141400,5 LATROBE CT ,114200,15148332
040141500,4 LATROBE CT ,114200,15148337
050141000,814 TUNLAW PL ,673500,15148532
060008000,1860 WINSTON RD ,742900,15148407
050115000,615 PRESTON PL ,506700,15148617
060015100,1833 FENDALL AVE ,637144,15148437
050065000,514 17TH ST NW ,475614,15148706
030069000,0 PRESTON AVE ,62900,15148143
030070000,0 PRESTON AVE ,75600,15148149
020072000,921 RUGBY RD ,732700,15148096
060006000,1866 WINSTON RD ,892432,15148404
070020000,135 BOLLINGWOOD RD ,654180,15148729
050100400,602 CABELL AVE 4,186800,15148689
040043000,507 10TH ST NW ,229000,15148262
030013000,1623 RUGBY AVE ,302400,15148044
050022000,1826 FENDALL AVE ,479200,15148461
070033000,120 BOLLINGWOOD RD ,772700,15148698
020054400,909 COTTAGE LN ,444500,15148057
040221000,313 10TH ST NW ,238650,15148843
050001000,808 WINSTON TER ,511752,15148434
050032000,1822 EDGEWOOD LN ,906800,15148503
030143000,937 HEMLOCK LN ,214300,15148118
010037000,1870 FIELD RD ,760700,15147966
050087000,513 14TH ST NW ,313300,15148769
040007000,1301 GRADY AVE ,193800,15148205
020041000,1843 WINSTON RD ,512900,15148033
040265000,1101 PAGE ST ,307400,15148823
040023000,521 11TH ST NW ,229100,15148211
040097000,511 12TH ST NW ,155000,15148246
020016100,1107 RUGBY RD ,466084,15148003
050133000,714 RUGBY RD ,1071200,15148551
040184000,302 11TH ST NW ,328600,15148827
040216000,327 10TH ST NW ,219500,15148817
020012000,112 HOWARD DR ,395900,15147997
040318000,221 10TH ST NW ,262100,15148907
020061000,920 ROSSER LN ,900500,15148075
030015000,1105 HERNDON RD ,446860,15148048
020016000,1800 BARRACKS RD ,484684,15147990
030042000,1155 KENSINGTON AVE ,419800,15148111
070008000,2116 TWYMAN RD ,523900,15148656
060010000,1852 WINSTON RD ,646300,15148413
050111000,605 PRESTON PL ,408300,15148638
050110000,1600 GRADY AVE ,3146400,15148652
050116000,500 PRESTON PL ,150000,15148597
010004100,1170 EMMET ST N ,556845,15147923
050062000,501 17TH ST NW ,820800,15148717
030123000,839 MADISON AVE ,668600,15148168
020006100,110 BUCKINGHAM RD ,383400,15147981
050073000,1525 GORDON AVE ,476600,15148766
040083000,515 11TH ST NW ,395100,15148270
030009000,1641 RUGBY AVE ,291044,15148036
070003900,2103 MORRIS RD ,532900,15148599
040076000,514 11TH ST NW ,176894,15148296
060081000,33 UNIVERSITY CIR ,930200,15148579
040212000,349 10TH ST NW ,285500,15148802
060085500,39 UNIVERSITY CIR 5,425536,15148614
020006200,114 BUCKINGHAM RD ,430800,15147975
030052000,1006 RUGBY RD ,629156,15148056
020010000,116 HOWARD DR ,342400,15147983
080013000,0 IVY RD & CAMERON LN ,117600,15148672
080014000,104 CAMERON LN ,498430,15148687
010017000,1893 WESTVIEW RD ,603632,15147934
040195000,326 10 1/2 ST NW ,153700,15148815
030068000,101 BARBOUR DR ,62900,15148144
030072000,105 BARBOUR DR ,62900,15148153
030075000,106 BARBOUR DR ,62900,15148157
040168000,353 10 1/2 ST NW ,132000,15148344
040237000,1058 PAGE ST ,107997,15148891
020054300,907 COTTAGE LN ,657800,15148068
040046000,415 10TH ST NW ,240800,15148286
040060000,401 10TH ST NW ,68800,15148336
050048000,64 UNIVERSITY WAY ,1114900,15148649
070012000,211 ALDERMAN RD ,725900,15148728
040176000,327 10 1/2 ST NW ,135494,15148366
030111000,704 12TH ST NW ,147000,15148188
030144000,936 RUGBY RD ,1878728,15148091
040070000,1052 GRADY AVE ,226200,15148275
040136000,417 12TH ST NW ,206500,15148292
070003210,2114 IVY RD ,1388500,15148564
060062000,1864 WAYSIDE PL ,953900,15148459
040082000,513 11TH ST NW ,206570,15148276
040181000,304 11TH ST NW ,142770,15148376
060049000,1840 EDGEWOOD LN ,424700,15148470
030045000,1698 RUGBY AVE ,748900,15148069
030021000,1610 RUGBY AVE ,557400,15148080
040231000,1002 PAGE ST ,300800,15148898
060066000,1826 WAYSIDE PL ,666148,15148530
070003180,111 ALDERMAN RD ,516200,15148630
050147100,922 RUGBY RD ,1725300,15148475
070019000,145 BOLLINGWOOD RD ,467340,15148770
020050000,910 OLD FARM RD ,672940,15148053
040096000,509 12TH ST NW ,172800,15148254
050063100,1609 GORDON AVE ,554000,15148738
040135000,1200 GORDON AVE ,298600,15148287
070003170,113 ALDERMAN RD ,639800,15148641
070003110,2108 MORRIS RD ,729870,15148622
040304101,1215 WERTLAND ST A-34,145500,15148846
040304130,1215 WERTLAND ST A-43,145500,15148849
040304140,1215 WERTLAND ST A-44,145500,15148850
040304170,1215 WERTLAND ST B-21,139000,15148853
040304180,1215 WERTLAND ST B-22,140800,15148854
040304201,1215 WERTLAND ST B-24,146600,15148856
040304270,1215 WERTLAND ST B-43,145100,15148864
040304280,1215 WERTLAND ST B-44,146600,15148865
040304290,1215 WERTLAND ST C-11,133000,15148866
040304330,1215 WERTLAND ST C-22,140600,15148871
040304390,1215 WERTLAND ST C-34,146900,15148877
040304700,1215 WERTLAND ST A-31,139300,15148885
040304800,1215 WERTLAND ST A-32,138800,15148886
040197000,332 10 1/2 ST NW ,168600,15148809
020055500,907 ROSSER LN ,660100,15148090
030054000,1222 PRESTON AVE ,134300,15148093
030055000,1220 PRESTON AVE ,187600,15148101
040218000,309 10TH ST NW ,93800,15148825
040202000,346 10 1/2 ST NW ,90455,15148795
040234000,1020 PAGE ST ,113900,15148896
110057000,110 MAYWOOD LN ,405100,15149314
090106000,132 CHANCELLOR ST ,1190200,15149122
090018000,1521 VIRGINIA AVE ,1515800,15148991
090093000,201-213 15TH ST NW ,9698600,15149151
160010100,1709 JEFFERSON PARK AVE ,1203800,15149254
160037000,1815 JEFFERSON PARK AVE ,10670400,15149382
100059000,1211-13 W MAIN ST ,1260700,15149214
160054000,1821 JEFFERSON PARK AVE ,1692900,15149338
080050000,1923 LEWIS MOUNTAIN RD ,236980,15149021
130057000,1956-58 LEWIS MOUNTAIN RD ,337900,15149031
130060000,1946 LEWIS MOUNTAIN RD ,545600,15149041
090023000,1411 VIRGINIA AVE ,469300,15149037
180005000,123 STRIBLING AVE ,288400,15149671
17A029000,2516 PLATEAU RD ,228600,15149623
17A030000,2514 PLATEAU RD ,274000,15149624
17A031000,2512 PLATEAU RD ,228600,15149625
090011000,426 17TH ST NW ,924500,15148934
090095000,22 ELLIEWOOD AVE ,610000,15149128
090096000,20 ELLIEWOOD AVE ,769500,15149142
090090000,19 ELLIEWOOD AVE ,493000,15149144
090097000,16 ELLIEWOOD AVE ,1010800,15149147
090086000,9 ELLIEWOOD AVE ,690600,15149156
090085000,5-7 ELLIEWOOD AVE ,991700,15149157
090129000,158 MADISON LN ,1377900,15149045
090126000,167 CHANCELLOR ST ,861500,15149017
090137000,125 CHANCELLOR ST ,832800,15149118
160010000,1713 JEFFERSON PARK AVE ,597100,15149352
090100000,1601 UNIVERSITY AVE ,1369333,15149159
090078100,1509-11 UNIVERSITY AVE ,2932628,15149155
18A032100,220 STRIBLING AVE ,178700,15149740
180007000,135 STRIBLING AVE ,268600,15149691
090076000,1417-19 UNIVERSITY AVE ,3733311,15149184
160040100,112 CHELSEA DR ,461700,15149387
180026000,2405 JEFFERSON PARK AVE ,826670,15149719
170095000,127 OBSERVATORY AVE ,223075,15149471
100056000,1201 W MAIN ST ,24736100,15149211
170009130,115 APPLE TREE RD ,484500,15149462
130032000,2012 MINOR RD ,660200,15148960
170031000,2314 PRICE AVE ,257400,15149516
17A037000,2500 PLATEAU RD ,289500,15149634
180005300,121 STRIBLING AVE ,257200,15149667
130046000,100 LEWIS MOUNTAIN CIR ,368200,15148956
160112000,106 CARROLLTON TER ,256100,15149466
17A040000,2505 WESTERLY AVE ,185100,15149655
200148000,0 BELLEVIEW ST ,15600,15149893
200121000,0 MONTE VISTA AVE ,15600,15149895
200147000,0 BELLEVIEW ST ,16300,15149900
160114000,114-116 CARROLLTON TER ,6730000,15149494
170009180,105 APPLE TREE RD ,244800,15149560
170030000,2316 PRICE AVE ,400875,15149518
180005100,127 STRIBLING AVE ,253300,15149693
17A053100,121 WESTERLY AVE ,256400,15149643
200008100,2505 WILLARD DR ,187900,15149812
110050000,139 VALLEY RD ,403600,15149305
130054100,2008 LEWIS MOUNTAIN RD ,392700,15149044
110015000,12 GILDERSLEEVE WOOD ,501450,15149293
100026000,1212 WERTLAND ST ,983131,15149193
100027000,1200-06 WERTLAND ST ,5198400,15149195
170057400,109 PIEDMONT AVE S ,207600,15149630
170002000,109 PIEDMONT AVE N ,360900,15149558
170099000,116 OBSERVATORY AVE ,219525,15149502
200055000,2706 JEFFERSON PARK AVE ,263300,15149871
190032200,118 PARK RD ,319436,15149818
090107000,136 CHANCELLOR ST ,1158800,15149110
090134000,129 CHANCELLOR ST ,1347700,15149098
090008000,418-422 17TH ST NW ,3638900,15148942
090017000,1533 VIRGINIA AVE ,1235000,15148978
110045000,0 VALLEY CIR ,16800,15149321
110069000,0 VALLEY CIR ,8400,15149323
110068000,0 VALLEY CIR ,8400,15149329
110065000,0 VALLEY CIR ,18400,15149335
110062000,130 MAYWOOD LN ,320400,15149336
110064000,0 VALLEY CIR ,18400,15149328
180015180,2430 SUNSET RD ,291010,15149788
18A011000,221 STRIBLING AVE ,256400,15149715
170100000,114 OBSERVATORY AVE ,437000,15149508
110042100,523 VALLEY RD ,182250,15149308
130016000,303 ALDERMAN RD ,426070,15148922
17A022000,106 WESTERLY AVE ,156700,15149607
130055000,2000 LEWIS MOUNTAIN RD ,429100,15149039
080061000,208 CAMERON LN ,458200,15148941
090073000,201 14TH ST NW ,738700,15149188
160101000,1900 JEFFERSON PARK AVE ,2982200,15149492
160011000,1715 JEFFERSON PARK AVE ,683200,15149356
160040200,114 CHELSEA DR ,461700,15149386
160077000,123 WASHINGTON AVE ,277600,15149417
090071000,205 14TH ST NW ,2161400,15149185
090072000,190 15TH ST NW ,373900,15149186
170009201,2501 FONTAINE AVE ,233525,15149580
120032000,1940 THOMSON RD ,428200,15149116
17A023000,2517 PLATEAU RD ,179730,15149613
170009600,112 APPLE TREE RD ,74200,15149506
170004000,117 PIEDMONT AVE N ,311825,15149505
090087000,11 ELLIEWOOD AVE ,501054,15149154
130010000,321 ALDERMAN RD ,654400,15148967
170052000,2321 FONTAINE AVE ,310600,15149565
180017300,128 STRIBLING AVE ,277300,15149713
180017000,130 STRIBLING AVE ,452275,15149716
180015900,2412 SUNSET RD ,272200,15149763
180022100,110 STRIBLING AVE ,274800,15149711
200057000,2710 JEFFERSON PARK AVE ,236100,15149880
160050000,110 SHAMROCK RD ,579100,15149395
110053100,1708 JEFFERSON PARK AVE ,536200,15149280
110044000,0 VALLEY RD ,1500,15149322
160048000,1802 CHELSEA DR ,311200,15149389
160099190,1910 JEFFERSON PARK AVE 19,192200,15149541
190057200,201 MONTE VISTA AVE ,249100,15149887
080057000,1943 LEWIS MOUNTAIN RD ,817330,15149006
17A063000,2502 WESTERLY AVE ,167600,15149686
170109000,126 OBSERVATORY AVE ,281600,15149449
170072000,108 LEWIS ST ,925853,15149619
160040000,116 CHELSEA DR ,567700,15149318
160025100,325 MONTEBELLO CIR ,322700,15149349
130056200,1960 LEWIS MOUNTAIN RD ,326200,15149030
130056100,1962 LEWIS MOUNTAIN RD ,326200,15149032
200078000,2537 WOODLAND DR ,328400,15149825
130005000,317 KENT RD ,625790,15148929
18A025000,240 STRIBLING AVE ,859000,15149765
200113200,100 MONTE VISTA AVE ,224900,15149849
18A019000,235 STRIBLING AVE ,242300,15149727
180033000,2425 JEFFERSON PARK AVE ,535095,15149770
170071000,107 LEWIS ST ,189300,15149620
090042000,403 14TH ST NW ,362200,15149061
180015120,2418 SUNSET RD A&B,252500,15149773
170076000,2211 JEFFERSON PARK AVE ,1585837,15149605
180053000,0 SUNSET AVE ,100300,15149800
200066000,112 PARK LN W ,220700,15149851
110019000,3 GILDERSLEEVE WOOD ,450875,15149274
17A048000,101 WESTERLY AVE ,319900,15149582
17A019A00,2514 FONTAINE AVE ,216700,15149584
17A019000,2512 FONTAINE AVE ,216700,15149585
160099101,1910 JEFFERSON PARK AVE 10,193000,15149533
160099800,1910 JEFFERSON PARK AVE 8,191800,15149553
160066100,120 HARMON ST ,229400,15149396
130072100,2025 THOMSON RD ,502500,15149067
130042000,1961 LEWIS MOUNTAIN RD ,331500,15148975
170111000,130 OBSERVATORY AVE ,370300,15149425
090015000,1506 GORDON AVE ,2966400,15148933
17A061000,0 WESTERLY AVE ,9500,15149683
190033000,0 JEFFERSON PARK RD ,88300,15149817
090089000,17 ELLIEWOOD AVE ,510436,15149150
090088000,12 ELLIEWOOD AVE ,551917,15149153
18A010000,219 STRIBLING AVE ,203800,15149714
200015000,2546 WOODLAND DR ,198500,15149836
170091000,108 CLARKE CT ,2597200,15149477
170037000,2300 PRICE AVE ,261300,15149510
170036000,2302 PRICE AVE ,538500,15149511
170037100,105 LEWIS ST ,268600,15149557
180011000,147 STRIBLING AVE ,253700,15149698
200103000,112 OLD LYNCHBURG RD ,223700,15149835
170016000,2203 STADIUM RD ,375325,15149406
170017000,2201 STADIUM RD ,411950,15149407
170010000,2320 STADIUM RD ,211200,15149414
170009000,133 PIEDMONT AVE N ,301300,15149418
170012000,128 PIEDMONT AVE N ,239900,15149442
170025000,2321 PRICE AVE ,283780,15149467
160099100,1910 JEFFERSON PARK AVE 1,194000,15149532
180015600,2406 SUNSET RD ,204000,15149741
090001000,1702 GORDON AVE ,979600,15148919
130054000,2004-06 LEWIS MOUNTAIN RD ,272400,15149042
18A020000,237 STRIBLING AVE ,334000,15149729
090056000,330 15TH ST NW ,527700,15149123
130015000,2110 MINOR RD ,712400,15148918
090146000,165 MADISON LN ,595100,15149019
110040000,513 VALLEY RD ,237000,15149276
160113000,108 CARROLLTON TER ,388200,15149475
080053000,1933 LEWIS MOUNTAIN RD ,665000,15149009
170083000,2111 JEFFERSON PARK AVE ,7595100,15149561
100047000,110 10 1/2 ST NW ,254200,15149218
100049000,0 10 1/2 ST NW ,36600,15149220
160058000,105 SHAMROCK RD ,286400,15149455
160055100,1901 JEFFERSON PARK AVE ,269800,15149470
160055000,1905-09 JEFFERSON PARK AVE ,691300,15149340
17A057000,2514 WESTERLY AVE ,200700,15149678
170116000,118 WASHINGTON AVE ,288600,15149456
180027000,2407 JEFFERSON PARK AVE ,585110,15149724
100005000,1395 W MAIN ST ,325188,15149203
130034000,103 MINOR RD ,548700,15148963
130023000,308 ALDERMAN RD ,516800,15148944
180015110,2416 SUNSET RD ,268750,15149768
130006000,325 KENT RD ,695030,15148940
200018100,2554 WOODLAND DR ,238000,15149859
160074000,1912 STADIUM RD ,267250,15149391
160076000,1918 STADIUM RD ,270400,15149397
130078000,1958 THOMSON RD ,1274700,15149091
170035000,2306 PRICE AVE ,241500,15149512
170034000,0 PRICE AVE ,74500,15149513
130027000,2026 MINOR RD ,406900,15148939
090136000,127 CHANCELLOR ST ,1476700,15149106
090006000,1541 VIRGINIA AVE ,735300,15148966
090007000,1537 VIRGINIA AVE ,981700,15148971
110077000,514 VALLEY RD ,331600,15149287
090032000,1414 GORDON AVE ,285400,15148954
090050000,333 14TH ST NW ,412700,15149112
160039000,1804 CHELSEA DR ,424200,15149388
160099160,1910 JEFFERSON PARK AVE 16,193000,15149538
160032000,304 MONTEBELLO CIR ,482400,15149367
090043000,3 UNIVERSITY CT ,415600,15149076
090051000,336 15TH ST NW ,309800,15149103
160063000,111 SHAMROCK RD ,293800,15149429
090030000,432 15TH ST NW ,332900,15148968
090027000,420 15TH ST NW ,315100,15148998
160056000,100 HARMON ST ,598500,15149496
